Date,App,Reply,Offer,State,Country
12/1/2017,1,0,0,,Sweden
12/20/2017,1,0,0,CT,United States
1/14/2018,1,0,0,MD,United States
1/14/2018,1,0,0,MD,United States
1/14/2018,1,0,0,MN,United States
1/14/2018,1,0,0,MN,United States
1/14/2018,1,0,0,MN,United States
1/14/2018,1,0,0,MN,United States
1/14/2018,1,0,0,MN,United States
1/14/2018,1,0,0,MD,United States
1/14/2018,1,0,0,VA,United States
1/14/2018,1,0,0,VA,United States
1/28/2018,0,0,0,,
1/28/2018,1,0,0,VA,United States
1/28/2018,1,0,0,NA,Netherlands
1/28/2018,1,0,0,MN,United States
1/28/2018,1,0,0,MN,United States
1/28/2018,1,0,0,MN,United States
1/28/2018,1,0,0,MN,United States
1/29/2018,1,0,0,MN,United States
1/29/2018,1,0,0,MN,United States
1/29/2018,1,0,0,VA,United States
1/29/2018,1,1,0,VA,United States
1/29/2018,1,0,0,VA,United States
1/29/2018,1,1,0,MN,United States
2/4/2018,1,0,0,VA,United States
2/13/2018,0,0,0,,
2/13/2018,1,1,0,VA,United States
2/13/2018,1,0,0,MD,United States
2/13/2018,1,0,0,MN,United States
2/13/2018,1,0,0,MN,United States
2/13/2018,1,0,0,VA,United States
2/15/2018,1,0,0,VA,United States
2/15/2018,1,0,0,IL,United States
2/15/2018,1,0,0,VA,United States
2/15/2018,1,0,0,CO,United States
2/16/2018,1,0,0,,Sweden
2/18/2018,1,0,0,VA,United States
2/18/2018,1,0,0,VA,United States
2/24/2018,1,0,0,IL,United States
2/24/2018,1,1,0,MN,United States
2/24/2018,1,0,0,MN,United States
2/24/2018,1,0,0,GA,United States
2/24/2018,1,0,0,MN,United States
2/24/2018,1,0,0,MN,United States
2/24/2018,1,0,0,MD,United States
2/24/2018,1,0,0,VA,United States
2/24/2018,1,0,0,TX,United States
2/24/2018,1,0,0,NJ,United States
2/24/2018,1,0,0,IL,United States
3/7/2018,1,0,0,NC,United States
3/7/2018,1,0,0,NC,United States
3/7/2018,1,0,0,NC,United States
3/10/2018,1,0,0,MN,United States
3/15/2018,1,0,0,MN,United States
3/15/2018,1,0,0,PA,United States
3/15/2018,1,0,0,PA,United States
3/15/2018,1,0,0,TX,United States
3/15/2018,1,0,0,MN,United States
3/15/2018,1,0,0,MN,United States
3/15/2018,1,0,0,MN,United States
3/15/2018,1,0,0,MN,United States
3/15/2018,1,0,0,MN,United States
3/15/2018,1,1,0,MN,United States
3/16/2018,1,0,0,MN,United States
3/16/2018,1,0,0,MN,United States
3/16/2018,1,0,0,MN,United States
3/16/2018,1,1,0,MN,United States
3/19/2018,1,1,0,IL,United States
3/25/2018,0,0,0,,
3/25/2018,1,1,0,MN,United States
3/25/2018,1,0,0,MN,United States
3/26/2018,1,0,0,MN,United States
3/26/2018,1,0,0,VA,United States
3/26/2018,1,1,0,WI,United States
3/26/2018,1,0,0,VA,United States
3/26/2018,1,1,1,VA,United States
3/26/2018,1,0,0,MI,United States
3/26/2018,1,0,0,MI,United States
3/26/2018,1,0,0,WA,United States
3/26/2018,1,0,0,IL,United States
3/26/2018,1,0,0,IL,United States
3/26/2018,1,1,0,OH,United States
3/26/2018,1,0,0,,Ireland
4/4/2018,1,1,1,WI,United States
4/5/2018,1,0,0,MA,United States
4/5/2018,1,0,0,MA,United States
4/5/2018,1,0,0,MA,United States
4/5/2018,1,1,0,MO,United States
4/5/2018,1,0,0,WI,United States
4/5/2018,1,0,0,WI,United States
4/5/2018,1,0,0,MN,United States
4/5/2018,1,0,0,MN,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,1,1,MN,United States
4/7/2018,1,0,0,WI,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,0,0,MN,United States
4/7/2018,1,1,1,MD,United States
4/7/2018,1,0,0,MN,United States
4/15/2018,1,0,0,,Germany
4/15/2018,1,0,0,MN,United States
4/19/2018,1,0,0,MN,United States
5/14/2018,1,0,0,MN,United States
5/14/2018,1,1,0,MN,United States
5/14/2018,1,0,0,MN,United States
5/15/2018,1,0,0,MN,United States
5/15/2018,1,0,0,MN,United States
5/15/2018,1,0,0,MN,United States
5/15/2018,1,0,0,MN,United States
6/5/2018,1,0,0,MN,United States
6/12/2018,1,0,0,MN,United States
6/12/2018,1,0,0,MN,United States
6/20/2018,1,0,0,MN,United States
6/20/2018,1,0,0,MN,United States
6/21/2018,1,0,0,MN,United States
6/22/2018,1,1,0,MN,United States
6/25/2018,1,1,0,MN,United States
6/25/2018,1,0,0,MN,United States
6/25/2018,1,0,0,MN,United States
6/25/2018,1,0,0,MN,United States
6/25/2018,1,0,0,MN,United States
6/25/2018,1,1,0,WI,United States
6/25/2018,1,0,0,MN,United States
6/25/2018,1,0,0,MN,United States
6/25/2018,1,0,0,MN,United States
6/25/2018,1,0,0,MN,United States
6/25/2018,1,1,0,MN,United States
6/27/2018,1,0,0,AR,United States
6/27/2018,1,0,0,AR,United States
6/27/2018,1,0,0,AR,United States
6/27/2018,1,0,0,VA,United States
6/27/2018,1,0,0,VA,United States
6/27/2018,1,0,0,VA,United States
6/27/2018,1,1,0,MN,United States
6/27/2018,1,0,0,VA,United States
6/27/2018,1,0,0,VA,United States
6/27/2018,1,1,0,VA,United States
6/28/2018,1,0,0,MN,United States
6/28/2018,1,0,0,IL,United States
6/28/2018,1,0,0,WA,United States
6/28/2018,1,0,0,IL,United States
6/28/2018,1,0,0,IL,United States
6/28/2018,1,0,0,WI,United States
6/28/2018,1,0,0,WI,United States
7/3/2018,1,0,0,NC,United States
7/3/2018,1,0,0,IA,United States
7/3/2018,1,0,0,MN,United States
7/6/2018,1,0,0,WI,United States
7/6/2018,1,1,1,WI,United States
7/6/2018,1,0,0,MN,United States
7/10/2018,1,0,0,MN,United States
7/10/2018,1,0,0,CA,United States
7/10/2018,1,0,0,CA,United States
8/23/2018,0,0,0,MN,United States
,0,0,0,MN,United States
,0,0,0,CT,United States
,0,0,0,CT,United States
